instrument,type,role
12 string guitar,String instrument,guitar
17-string bass koto,String instrument,strings
accordina,Wind instrument,harmonica
accordion,Wind instrument,accordion
acoustic bass guitar,String instrument,bass
acoustic fretless guitar,String instrument,guitar
acoustic guitar,String instrument,guitar
aeolian harp,String instrument,harp
agogô,Percussion instrument,drums
akkordolia,String instrument,strings
alfaia,Percussion instrument,drums
algozey,Wind instrument,wind
alphorn,Wind instrument,wind
alto flute,Wind instrument,flute
alto saxophone,Wind instrument,saxophone
alto viol,String instrument,violin
amadinda,Percussion instrument,drums
analog synthesizer,Electronic instrument,keys
Anglo concertina,Wind instrument,accordion
ankle rattlers,Percussion instrument,drums
Appalachian dulcimer,String instrument,strings
archtop guitar,String instrument,guitar
arghul,Wind instrument,flute
arpeggione,String instrument,guitar
ashiko,Percussion instrument,drums
atabaque,Percussion instrument,drums
atarigane,Percussion instrument,drums
baandu,Percussion instrument,drums
baglamas,String instrument,guitar
bagpipe,Wind instrument,bagpipe
bajo sexto,String instrument,guitar
balafon,Percussion instrument,drums
Baltic psalteries,Family,other
bandoneón,Wind instrument,accordion
bandora,String instrument,strings
bandura,String instrument,strings
bandurria,String instrument,strings
bangu,Percussion instrument,drums
banhu,String instrument,guitar
banjolin,String instrument,guitar
bansuri,Wind instrument,flute
barbat,String instrument,guitar
baritone guitar,String instrument,guitar
baritone horn,Wind instrument,wind
baritone saxophone,Wind instrument,saxophone
baroque guitar,String instrument,guitar
barrel drum,Percussion instrument,drums
barrel organ,Wind instrument,keys
baryton,String instrument,strings
bass,Other instrument,bass
bass clarinet,Wind instrument,flute
bass drum,Percussion instrument,drums
bass flute,Wind instrument,flute
bass harmonica,Wind instrument,harmonica
bass oboe,Wind instrument,flute
bass pedals,Electronic instrument,keys
bass saxophone,Wind instrument,saxophone
bass synthesizer,Electronic instrument,keys
bass trombone,Wind instrument,trombone
bass trumpet,Wind instrument,trumpet
bass violin,String instrument,violin
basset clarinet,Wind instrument,flute
bateria,Ensemble,drums
bawu,Wind instrument,flute
bayan,Wind instrument,accordion
bazooka,Wind instrument,wind
bedug,Percussion instrument,drums
bell,Percussion instrument,drums
bell plate,Percussion instrument,drums
bendir,Percussion instrument,drums
berda,String instrument,strings
berimbau,String instrument,strings
bhapang,String instrument,strings
bicycle bell,Percussion instrument,drums
bin-sasara,Percussion instrument,drums
bin-sitar,String instrument,strings
biniou,Wind instrument,wind
birch lur,Wind instrument,wind
bisernica,String instrument,strings
biwa,String instrument,strings
boatswain's pipe,Wind instrument,wind
bodhrán,Percussion instrument,drums
body percussion,Percussion instrument,drums
bombarde,Wind instrument,wind
